system,x_NaCl,pair,r_A,g_r,g_r_block_sd
cl4256,0.014925373,Mg-Cl,6.29000,1.01483101,0.00325095
cl4256,0.014925373,Mg-Cl,6.31000,1.00089051,0.00704373
cl4256,0.014925373,Mg-Cl,6.33000,0.98702668,0.00756396
cl4256,0.014925373,Mg-Cl,6.35000,0.97881803,0.00730701
cl4256,0.014925373,Mg-Cl,6.37000,0.96784671,0.00849973
cl4256,0.014925373,Mg-Cl,6.39000,0.95846564,0.00329386
cl4256,0.014925373,Mg-Cl,6.41000,0.94818925,0.00899575
cl4256,0.014925373,Mg-Cl,6.43000,0.93689700,0.00440671
cl4256,0.014925373,Mg-Cl,6.45000,0.93363602,0.00515463
cl4256,0.014925373,Mg-Cl,6.47000,0.92422210,0.00396517
cl4256,0.014925373,Mg-Cl,6.49000,0.91269779,0.00766466
cl4256,0.014925373,Mg-Cl,6.51000,0.90336549,0.00552787
cl4256,0.014925373,Mg-Cl,6.53000,0.89462737,0.00745236
cl4256,0.014925373,Mg-Cl,6.55000,0.89274921,0.00469298
cl4256,0.014925373,Mg-Cl,6.57000,0.88620067,0.00679229
cl4256,0.014925373,Mg-Cl,6.59000,0.87752205,0.00355041
cl4256,0.014925373,Mg-Cl,6.61000,0.87291502,0.00311286
cl4256,0.014925373,Mg-Cl,6.63000,0.86382714,0.00506411
cl4256,0.014925373,Mg-Cl,6.65000,0.85989110,0.00405263
cl4256,0.014925373,Mg-Cl,6.67000,0.85309208,0.00398068
cl4256,0.014925373,Mg-Cl,6.69000,0.85265784,0.00543353
cl4256,0.014925373,Mg-Cl,6.71000,0.84869285,0.00342085
cl4256,0.014925373,Mg-Cl,6.73000,0.84629673,0.00547968
cl4256,0.014925373,Mg-Cl,6.75000,0.83722658,0.00413551
cl4256,0.014925373,Mg-Cl,6.77000,0.83796185,0.00576316
cl4256,0.014925373,Mg-Cl,6.79000,0.83181795,0.00461150
cl4256,0.014925373,Mg-Cl,6.81000,0.83717316,0.00477939
cl4256,0.014925373,Mg-Cl,6.83000,0.83317952,0.00387437
cl4256,0.014925373,Mg-Cl,6.85000,0.83335847,0.00456667
