mixture,central_cation,system,x_NaCl,n_cation_Cl,probability,block_sd,cutoff_A
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,2,0.391360294117647,0.0010640568679544,3.36630346
MgCl2-NaCl,Mg,cl3808,0.5308641975308642,3+,0.038625262605042,0.0005233727381436,3.36630346
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,0,0.0525333867521367,0.0008966639936539,3.44133535
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,1,0.6026268696581196,0.0021665177711233,3.44133535
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,2,0.3182625534188034,0.0015282747042953,3.44133535
MgCl2-NaCl,Mg,cl3744,0.5903614457831325,3+,0.0265771901709401,0.0005625127775007,3.44133535
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,0,0.0929714673913043,0.000167414793136,3.41830388
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,1,0.6537010869565217,0.0007527805410254,3.41830388
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,2,0.2391100543478261,0.0006171978752029,3.41830388
MgCl2-NaCl,Mg,cl3680,0.6470588235294118,3+,0.0142173913043478,0.0002339265953171,3.41830388
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,0,0.1513799778761062,0.001227273343741,3.44997297
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,1,0.6681042588495575,0.0027556456885264,3.44997297
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,2,0.1729231194690265,0.0016282911309353,3.44997297
MgCl2-NaCl,Mg,cl3616,0.7011494252873564,3+,0.0075926438053097,0.0004074520273398,3.44997297
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,0,0.2328828828828829,0.0007734915518322,3.41955799
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,1,0.6489118806306307,0.0016424460635725,3.41955799
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,2,0.1147663288288288,0.00086004023833,3.41955799
MgCl2-NaCl,Mg,cl3552,0.7528089887640449,3+,0.0034389076576576,0.0002306368784015,3.41955799
