mixture,central_cation,system,x_NaCl,criterion,cutoff_A,mean_cation_degree,n_cation_Cl,P_MD,P_MD_block_sd,P_random,delta_P,delta_P_block_sd
MgCl2-NaCl,Mg,cl4064,0.2602739726027397,union,4.229345799932314,3.4579443897637794,3+,0.46250787401574806,0.0009375749138233942,0.5150175196922533,-0.052509645676505234,0.0006643949217224576
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,M-Cl,3.36253151,2.5925965,0,0.003154,3.907524791987889e-05,0.07491666463076369,-0.07176266463076368,0.00018309522458690125
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,M-Cl,3.36253151,2.5925965,1,0.288649,0.0009774338212892,0.32138511518046414,-0.032736115180464154,0.000675714759950883
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,M-Cl,3.36253151,2.5925965,2,0.5983645,0.0008945414328022957,0.42135196573997274,0.17701253426002722,0.0007847753709189003
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,M-Cl,3.36253151,2.5925965,3+,0.1098325,0.00038661188548723977,0.18234625444879948,-0.07251375444879948,0.0002755480375617179
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,union,4.229345799932314,3.617756,0,0.0016035,6.879771071772663e-05,0.029868192402892027,-0.028264692402892026,0.00013425115316665771
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,union,4.229345799932314,3.617756,1,0.15272,0.00112816499236593,0.16852300052936642,-0.015803000529366423,0.0007938533566410067
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,union,4.229345799932314,3.617756,2,0.4543505,0.0009325123993813773,0.3422850865251152,0.1120654134748848,0.0009731499392004497
MgCl2-NaCl,Mg,cl4000,0.3333333333333333,union,4.229345799932314,3.617756,3+,0.391326,0.0009907235361088355,0.4593237205426264,-0.06799772054262637,0.000608304865812946
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,M-Cl,3.40862564,2.7299939024390243,0,0.006800813008130081,0.00010240743782443806,0.10183271019104134,-0.09503189718291126,9.189111918944079e-05
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,M-Cl,3.40862564,2.7299939024390243,1,0.3659131097560976,0.000880764385600953,0.348348474301275,0.017564635454822564,0.000766024662188986
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,M-Cl,3.40862564,2.7299939024390243,2,0.5386524390243902,0.000872563810386311,0.38463045342113267,0.15402198560325753,0.0008913242506132119
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,M-Cl,3.40862564,2.7299939024390243,3+,0.08863363821138211,0.00047574450548410293,0.16518836208655097,-0.07655472387516886,0.00041844105245067355
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,union,4.229345799932314,3.773670223577236,0,0.0038196138211382116,0.0001400656674941757,0.04484334408373217,-0.041023730262593955,0.00016671761171550844
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,union,4.229345799932314,3.773670223577236,1,0.21380640243902438,0.0005527926346274406,0.2048729815824517,0.008933420856572671,0.0002456150400455665
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,union,4.229345799932314,3.773670223577236,2,0.4648465447154472,0.0006222586577080743,0.348995145785845,0.11585139892960217,0.0005321875961464831
MgCl2-NaCl,Mg,cl3936,0.4025974025974026,union,4.229345799932314,3.773670223577236,3+,0.31752743902439023,0.0008755875310219638,0.4012885285479711,-0.08376108952358086,0.0004319793641467679
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,M-Cl,3.39656719,2.8076663223140494,0,0.01418698347107438,0.0006269536733570993,0.13804660472643668,-0.1238596212553623,0.000664042796123741
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,M-Cl,3.39656719,2.8076663223140494,1,0.45498553719008267,0.001919416379297787,0.37948933824390885,0.07549619894617382,0.0018855095139062323
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,M-Cl,3.39656719,2.8076663223140494,2,0.4693336776859504,0.0018437903183354486,0.3484222233536152,0.12091145433233519,0.0016695823398187142
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,M-Cl,3.39656719,2.8076663223140494,3+,0.06149380165289256,0.0007189653118701183,0.1340418336760393,-0.07254803202314675,0.0007025065048712818
MgCl2-NaCl,Mg,cl3872,0.46835443037974683,union,4.229345799932314,3.9274953512396693,0,0.008488636363636363,0.00043940797234860626,0.06419326793780081,-0.05570463157416444,0.00048642029047717437
