system,solute_cation,tag,x_LiCl,split,k2cut_cycles2_per_A2,k_max_cycles_per_A,n_Li,n_Cl,n_Na,box_L,n_fit_points,fit_converged,fit_status,fit_nfev,fit_cost,fit_rmse,n_starts,n_starts_converged,best_start_factor,n_basins,selection_rule,alt_S0_NN,alt_cost,kappa_calculated,kappa_used,S0_LiLi,S0_LiCl,S0_LiNa,S0_ClCl,S0_ClNa,S0_NaNa,S0_NN,S0_ZZ,x_MgCl2,n_Mg,S0_MgMg,S0_MgCl,S0_MgNa
MgCl2-NaCl,Mg,cl3488,,1,0.02,0.1414213562373095,,3488,2336,58.43182262765156,367,1,2,662,435.0856197399962,0.721273146261727,4,4,0.3,1,lowest-cost,,,8.443479671334323,6.510183946606296,,,,0.0749483478974983,0.0104176438376597,0.1874047946132033,0.1159756605095074,-1.1838194416839865e-17,0.1978021978021978,576,0.2776579197656353,0.0817268521613668,-0.1758838400846506
MgCl2-NaCl,Mg,cl3488,,2,0.02,0.1414213562373095,,3488,2336,58.40393221215227,367,1,2,95,454.4125252754808,0.7262360269058088,4,4,0.3,1,lowest-cost,,,8.449528586011034,9.141047577074286,,,,0.0730652246759483,0.0155849107532872,0.1888136969199752,0.1172520227643967,-9.600509240652688e-18,0.1978021978021978,576,0.2634319220613699,0.0742068267558533,-0.1709446775538832
MgCl2-NaCl,Mg,cl3488,,3,0.02,0.1414213562373095,,3488,2336,58.41925802520098,367,1,2,1134,413.2947279256519,0.6938144122667393,4,4,0.5,1,lowest-cost,,,8.446203807339968,7.660208243083303,,,,0.0718942464346477,0.0189900634738545,0.1742267366910682,0.1167631492799738,-8.94675789113756e-18,0.1978021978021978,576,0.2384322316033896,0.0693373348050271,-0.1520670618477891
MgCl2-NaCl,Mg,cl3488,,4,0.02,0.1414213562373095,,3488,2336,58.41565966040565,367,1,2,1599,437.6383308144473,0.7090968564662518,4,4,0.75,1,lowest-cost,,,8.446984239949463,7.582539275434176,,,,0.0727411878182192,0.0195231080960879,0.1672809005184977,0.1175245185203935,-1.6523479612717142e-17,0.1978021978021978,576,0.2313513046357284,0.0698426795545605,-0.14441729790373
MgCl2-NaCl,Mg,cl3552,,0,0.02,0.1414213562373095,,3552,2144,58.44124142160074,367,1,2,95,172.1925935522238,0.417939314337614,4,4,0.75,1,lowest-cost,,,8.638541476868383,8.172043260941104,,,,0.0786404728162415,0.0143432109821262,0.1960712330978259,0.1239002345042692,-1.2679680580346036e-17,0.247191011235955,704,0.220363684310741,0.07580613182244,-0.1549752922931367
MgCl2-NaCl,Mg,cl3552,,1,0.02,0.1414213562373095,,3552,2144,58.43662125336027,367,1,2,109,359.85255453117395,0.6326987303949232,4,4,0.5,1,lowest-cost,,,8.639565979217823,8.831686656808744,,,,0.0783813921438141,0.0141331443508949,0.1903822392731931,0.1229643862684875,-2.4222935748919833e-18,0.247191011235955,704,0.2161172175984325,0.0756984532254619,-0.1502472218670715
MgCl2-NaCl,Mg,cl3552,,2,0.02,0.1414213562373095,,3552,2144,58.43151340126165,367,1,2,126,379.5566042837756,0.6586429572317236,4,4,0.3,1,lowest-cost,,,8.640698859072666,7.223036297357683,,,,0.0789532750186654,0.0119338983123408,0.1937985280150972,0.1225421991380723,1.0553506658141725e-17,0.247191011235955,704,0.2237500322820096,0.078259714939203,-0.155698127066201
MgCl2-NaCl,Mg,cl3552,,3,0.02,0.1414213562373095,,3552,2144,58.443616794171106,367,1,2,65,391.3630862645126,0.66996306787341,4,4,1.0,1,lowest-cost,,,8.638014827070785,7.118021328211361,,,,0.0789494921047958,0.0176886415753272,0.1904124156562967,0.1259759717764516,-3.788637998384637e-18,0.247191011235955,704,0.2098881570390696,0.0732340987034707,-0.1462803578148999
MgCl2-NaCl,Mg,cl3552,,4,0.02,0.1414213562373095,,3552,2144,58.45202274873874,367,1,2,92,377.0038773661613,0.6538126287120357,4,4,1.0,1,lowest-cost,,,8.636151551528252,8.70205815804168,,,,0.0782220681747972,0.0147619589178265,0.1956828686066416,0.123616066199666,-7.8491258897165e-18,0.247191011235955,704,0.2187195099836251,0.0749708363594917,-0.1541661226999323
MgCl2-NaCl,Mg,cl3616,,0,0.02,0.1414213562373095,,3616,1952,58.48056214748911,367,1,2,175,125.86247634232988,0.3524751984373162,4,4,0.3,1,lowest-cost,,,8.822341071452955,6.948260835045388,,,,0.0789286751901088,0.0183977976821015,0.1949729211529378,0.1266607170511418,4.328896351638925e-18,0.2988505747126437,832,0.1707439188403559,0.0681829056389379,-0.1301442285829001
