algorithm,method,kcut,file,split,source,n_O,n_Na,n_Cl,n_I,n_X,x_O,x_Na,x_Cl,x_I,x_X,x_I_anion,n_fit_points,fit_rmse_scaled,fit_success,kappa_D_input,kappa_D_fit,S0_OO,S0_ONa,S0_OCl,S0_OI,S0_NaNa,S0_NaCl,S0_NaI,S0_ClCl,S0_ClI,S0_II
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30720-Na640-Cl160-I480-2-allSk.dat,2,main,30720,640,160,480,1280,0.96,0.02,0.005,0.015,0.04,0.75,229,0.7403229279031139,1,0.34843836150328816,0.34843836150328816,0.09183295980923309,-0.09679017554300234,0.02497242623597036,-0.12618150481898266,0.3628495498535266,0.2158404077807899,0.2943670530322982,0.8390458457571957,-0.23519230984187878,0.4756941380160473
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30720-Na640-Cl160-I480-2-allSk.dat,2,main,30720,640,160,480,1280,0.96,0.02,0.005,0.015,0.04,0.75,470,0.669918648873038,1,0.34843836150328816,0.34843836150328816,0.09109366521216655,-0.09693583986072052,0.023035040081276048,-0.12523115306713745,0.3650475335596861,0.21166196374567764,0.29931749178961553,0.856854515554969,-0.25029900172046415,0.4901322649370009
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30656-Na672-Cl640-I32-2-allSk.dat,2,main,30656,672,640,32,1344,0.958,0.021,0.02,0.001,0.042,0.047619047619047616,86,0.8771883808253363,1,0.35769732802471965,0.35769732802471965,0.0629906915741231,-0.054696939030289854,-0.04428080753189223,-0.05262307190889635,0.42333164905866466,0.4174882668141917,0.07288503707160754,0.4557561649146813,-0.12503194739571002,0.8931610668822749
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30656-Na672-Cl640-I32-2-allSk.dat,2,main,30656,672,640,32,1344,0.958,0.021,0.02,0.001,0.042,0.047619047619047616,228,0.7759537905901142,1,0.35769732802471965,0.35769732802471965,0.06295538813547755,-0.056919587841269145,-0.04651043528736146,-0.05283732987701372,0.4272675404169042,0.4225743514206669,0.06817589530907507,0.4645299662337738,-0.1409622120367237,0.9428233775709278
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30656-Na672-Cl640-I32-2-allSk.dat,2,main,30656,672,640,32,1344,0.958,0.021,0.02,0.001,0.042,0.047619047619047616,467,0.7188665480014107,1,0.35769732802471965,0.35769732802471965,0.06258559936817759,-0.05602166024657271,-0.04579960153196733,-0.05190145390125295,0.4110110513173886,0.4070016368685878,0.06332260014161695,0.45018800419780347,-0.14818615116126416,0.9528892229916738
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30656-Na672-Cl32-I640-2-allSk.dat,2,main,30656,672,32,640,1344,0.958,0.021,0.001,0.02,0.042,0.9523809523809523,89,0.8325279791570669,1,0.35769732802471965,0.35769732802471965,0.08588752117663456,-0.09854027136286864,0.027755816581743087,-0.10718012017674072,0.30879526310302025,0.04526521565126199,0.3062993758565779,0.8908192525210665,-0.152810196811363,0.3480328611771836
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30656-Na672-Cl32-I640-2-allSk.dat,2,main,30656,672,32,640,1344,0.958,0.021,0.001,0.02,0.042,0.9523809523809523,229,0.7178361241351504,1,0.35769732802471965,0.35769732802471965,0.09166742258820254,-0.10588087303323557,0.0234029022325517,-0.11372865732911519,0.33006436828921015,0.06763526138391956,0.3230916289326682,0.9147058643672664,-0.13522892986990787,0.3613085094280404
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30656-Na672-Cl32-I640-2-allSk.dat,2,main,30656,672,32,640,1344,0.958,0.021,0.001,0.02,0.042,0.9523809523809523,470,0.6804902780700767,1,0.35769732802471965,0.35769732802471965,0.09345948146624006,-0.10881061503371292,0.01872115009177723,-0.1156838779286431,0.33919183317041246,0.08554020895744613,0.3284408292674408,0.9406955116606913,-0.12269328005054042,0.36398675216098386
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30400-Na800-Cl640-I160-2-allSk.dat,2,main,30400,800,640,160,1600,0.95,0.025,0.02,0.005,0.05,0.2,86,0.9385369909730455,1,0.3909670996920168,0.3909670996920168,0.072231837818334,-0.06274345585485126,-0.01694042282068478,-0.10641778679333508,0.3588721578181997,0.3366480692567161,0.1291664016000949,0.5111767274396896,-0.26958548752730477,0.8279958294414593
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30400-Na800-Cl640-I160-2-allSk.dat,2,main,30400,800,640,160,1600,0.95,0.025,0.02,0.005,0.05,0.2,228,0.8306288937302586,1,0.3909670996920168,0.3909670996920168,0.07408990269431097,-0.06454425172305325,-0.016722266912553463,-0.11088080058449795,0.35506759281421585,0.3239072263632293,0.14614082141334386,0.49851849328759495,-0.27275841002359724,0.8722976310150883
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30400-Na800-Cl640-I160-2-allSk.dat,2,main,30400,800,640,160,1600,0.95,0.025,0.02,0.005,0.05,0.2,467,0.7581644130937804,1,0.3909670996920168,0.3909670996920168,0.07387691477947826,-0.06582650379179406,-0.02011745387016728,-0.10695762945926485,0.3660213758696884,0.3410121747334517,0.13642432819572187,0.5164610652580613,-0.270395726657089,0.8458455249445536
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30400-Na800-Cl480-I320-2-allSk.dat,2,main,30400,800,480,320,1600,0.95,0.025,0.015,0.01,0.05,0.4,89,0.8877143330438959,1,0.3909670996920168,0.3909670996920168,0.08194703067822935,-0.07570773730300406,-0.0001551206166817004,-0.11951446000786495,0.39003262467848704,0.3673839706404158,0.16674409400548157,0.7057738789320798,-0.2835078770541417,0.6108703801404525
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30400-Na800-Cl480-I320-2-allSk.dat,2,main,30400,800,480,320,1600,0.95,0.025,0.015,0.01,0.05,0.4,229,0.7472844179100013,1,0.3909670996920168,0.3909670996920168,0.08310181813930641,-0.07919469065378057,-0.0002412934046540638,-0.12492227766934733,0.37321603750892407,0.3286784177652524,0.18755916242042214,0.6743756017933911,-0.30625185074879835,0.6716374581997699
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30400-Na800-Cl480-I320-2-allSk.dat,2,main,30400,800,480,320,1600,0.95,0.025,0.015,0.01,0.05,0.4,467,0.6420971199624035,1,0.3909670996920168,0.3909670996920168,0.08279550497409577,-0.0765667487972862,0.0028924931858373415,-0.12460522581158057,0.361989757232108,0.3187128570150682,0.18201412417666896,0.6702452664438776,-0.3169501787780338,0.6759727053045407
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30400-Na800-Cl320-I480-2-allSk.dat,2,main,30400,800,320,480,1600,0.95,0.025,0.01,0.015,0.05,0.6,89,0.8618345488635852,1,0.3909670996920168,0.3909670996920168,0.08486223982851025,-0.07117932005785466,0.01988132218344326,-0.10812513864658352,0.28344735250379116,0.22496718376276245,0.1822440222280205,0.6837605180151873,-0.26785673974731705,0.4539801331937914
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30400-Na800-Cl320-I480-2-allSk.dat,2,main,30400,800,320,480,1600,0.95,0.025,0.01,0.015,0.05,0.6,229,0.7103681664142648,1,0.3909670996920168,0.3909670996920168,0.08546856385589814,-0.07635761581233746,0.024117390045106116,-0.11826902464515868,0.3166989985456131,0.25478025539885707,0.20082944162151556,0.7843806214859316,-0.3115242002218127,0.5136281386334427
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.01,O30400-Na800-Cl320-I480-2-allSk.dat,2,main,30400,800,320,480,1600,0.95,0.025,0.01,0.015,0.05,0.6,467,0.6203478827793127,1,0.3909670996920168,0.3909670996920168,0.0877386277058928,-0.0823634483498934,0.02313500832448928,-0.12522040979513066,0.33731635211808,0.2660565956821654,0.21823923734449502,0.8056334571489185,-0.31431937516785347,0.5383863390519708
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.0025,O30400-Na800-Cl160-I640-2-allSk.dat,2,main,30400,800,160,640,1600,0.95,0.025,0.005,0.02,0.05,0.8,89,0.8607559589473232,1,0.3909670996920168,0.3909670996920168,0.09012203718620679,-0.08815900394771387,0.030454995565566072,-0.11379226061066325,0.29283793935510355,0.17327802462829817,0.24076375708033726,0.8707129060094715,-0.24162573196685702,0.3899949296583687
matrix_BC_s_loss,"BC S-loss, fixed kappa_D",0.005,O30400-Na800-Cl160-I640-2-allSk.dat,2,main,30400,800,160,640,1600,0.95,0.025,0.005,0.02,0.05,0.8,229,0.7243783483061146,1,0.3909670996920168,0.3909670996920168,0.0914767647097921,-0.09156686092675625,0.032245049532101264,-0.11849738752529876,0.3044447708731386,0.17857675727880623,0.25109122289393987,0.8913394699465497,-0.24601485073482937,0.4037359468396152
